country,year,government_health_expenditure,dpt_immunization,measles_immunization,infant_mortality_rate,malaria_prevalence,maternal_mortality_rate,nurses_midwives_density,physicians_density,tb_prevalence,under_5_mortality_rate,undernourished_population,infant_mortality_rate_risk_scaled,under_5_mortality_rate_risk_scaled,maternal_mortality_rate_risk_scaled,malaria_prevalence_risk_scaled,tb_prevalence_risk_scaled,undernourished_population_risk_scaled,health_risk_score,health_risk_level,government_health_expenditure_readiness_scaled,dpt_immunization_readiness_scaled,measles_immunization_readiness_scaled,nurses_midwives_density_readiness_scaled,physicians_density_readiness_scaled,readiness_score,readiness_level,priority_category,priority_rank
Indonesia,2014,1205.2,90.7,78.7,27.2,39.8,190.0,1.365,0.201,297.0,40.0,7.6,0.30166270783847976,0.39368421052631575,0.4025423728813559,0.04844160720991363,0.06188001889466226,0.07449856733524354,21.37849141143285,Medium,0.7548872180451127,0.8140000000000001,0.6671875,0.08494105037513398,0.034404963338973485,47.108414635184396,Medium,Moderate Priority,5
Lao PDR,2004,23.1,50.0,36.0,86.0,34.8,405.0,0.99,0.353,4269.0,97.6,32.2,1.0,0.9999999999999999,0.8580508474576272,0.042183001627237454,1.0,0.7793696275071634,77.99339127653381,High,0.014223057644110276,0.0,0.0,0.03469989281886389,0.12013536379018609,3.381166285063205,Low,Emergency Priority,1
Lao PDR,2005,23.1,50.0,69.0,70.0,34.8,405.0,0.996,0.281,4269.0,97.6,29.5,0.8099762470308789,0.9999999999999999,0.8580508474576272,0.042183001627237454,1.0,0.7020057306590258,73.53693044624615,High,0.014223057644110276,0.0,0.515625,0.0355037513397642,0.07952622673434857,12.897560714364461,Low,Emergency Priority,1
Lao PDR,2006,23.1,50.0,48.0,67.2,34.8,380.0,0.9632499999999999,0.26,4269.0,93.0,26.9,0.7767220902612827,0.951578947368421,0.8050847457627118,0.042183001627237454,1.0,0.6275071633237822,70.05126580572392,High,0.014223057644110276,0.0,0.1875,0.031116023579849952,0.06768189509306259,6.010419526340457,Low,Emergency Priority,1
Lao PDR,2007,23.1,50.0,40.0,64.4,34.8,355.0,0.9305,0.23900000000000002,3523.2,88.6,25.6,0.7434679334916865,0.9052631578947368,0.7521186440677966,0.042183001627237454,0.8238545111006141,0.5902578796561605,64.28575213063719,High,0.014223057644110276,0.0,0.0625,0.026728295819935702,0.05583756345177664,3.185778338316452,Low,Emergency Priority,1
Lao PDR,2008,23.1,50.0,40.0,61.8,34.8,330.0,0.89775,0.21800000000000003,2777.4,84.4,24.7,0.7125890736342042,0.8610526315789474,0.6991525423728814,0.042183001627237454,0.6477090222012283,0.5644699140401146,58.78593642424356,High,0.014223057644110276,0.0,0.0625,0.02234056806002145,0.043993231810490696,2.8611371502924485,Low,Emergency Priority,1
Lao PDR,2009,23.1,57.0,59.0,59.2,34.8,305.0,0.865,0.197,2031.6000000000004,80.4,24.2,0.6817102137767221,0.8189473684210526,0.646186440677966,0.042183001627237454,0.4715635333018423,0.5501432664756447,53.51223040467442,High,0.014223057644110276,0.14000000000000012,0.359375,0.017952840300107187,0.03214890016920473,11.273995962268446,Low,Emergency Priority,1
Lao PDR,2010,23.1,74.0,78.0,56.6,34.8,280.0,0.864,0.191,1285.8000000000002,76.4,22.8,0.65083135391924,0.7768421052631579,0.5932203389830508,0.042183001627237454,0.29541804440245634,0.5100286532951289,47.80872495817119,High,0.014223057644110276,0.48,0.65625,0.017818863879957125,0.028764805414551606,23.941134538772374,Low,Emergency Priority,1
Lao PDR,2011,14.4,78.0,69.0,68.0,34.8,260.0,0.863,0.185,540.0,79.0,21.4,0.7862232779097388,0.8042105263157895,0.5508474576271186,0.042183001627237454,0.1192725555030704,0.46991404011461313,46.21084765162613,High,0.008771929824561405,0.56,0.515625,0.017684887459807078,0.02538071065989847,22.54925055888534,Low,Emergency Priority,1
Lao PDR,2012,15.4,79.0,72.0,51.5,34.8,240.0,0.862,0.179,514.0,68.4,20.1,0.5902612826603325,0.6926315789473685,0.5084745762711864,0.042183001627237454,0.11313179026924894,0.4326647564469914,39.65578310370609,High,0.009398496240601505,0.5800000000000001,0.5625,0.01755091103965703,0.021996615905245334,23.82892046371008,Low,Emergency Priority,1
