country,year,government_health_expenditure,dpt_immunization,measles_immunization,infant_mortality_rate,malaria_prevalence,maternal_mortality_rate,nurses_midwives_density,physicians_density,tb_prevalence,under_5_mortality_rate,undernourished_population,underweight_children
Thailand,2015,476.8,,,,,,,,,,7.4,
Viet Nam,1990,,,,,,,,,,,,
Viet Nam,1991,,,,,,,,,,,45.6,
Viet Nam,1992,,,,,,,,,,,44.8,
Viet Nam,1993,,,,,,,,,,,41.3,36.9
Viet Nam,1994,,,,,,,,,,,37.9,40.6
Viet Nam,1995,,,,,,,,,,,35.5,
Viet Nam,1996,,,,,,,,,,,35.1,
Viet Nam,1997,,,,,,,,,,,35.1,
Viet Nam,1998,,,,,,,,,,,34.2,35.8
Viet Nam,1999,,,,,,,,,,,31.4,31.1
Viet Nam,2000,178.9,,,,,,,,,,28.1,26.7
Viet Nam,2001,281.9,,,,,,0.73,0.522,,,25.4,
Viet Nam,2002,248.8,,,,,,0.755,0.549,,,23.3,23.4
Viet Nam,2003,281.8,,,,,,,,,,21.4,24.6
Viet Nam,2004,189.0,,97.0,18.0,,,,,176.0,26.8,19.9,23.8
Viet Nam,2005,274.5,,95.0,17.8,99.3,80.0,0.827,1.201,116.0,24.1,19.0,22.7
Viet Nam,2006,305.4,,96.4,16.0,91.6,75.1,0.876,1.196,118.0,24.1,18.5,22.1
Viet Nam,2007,299.3,92.0,82.8,13.0,70.9,75.0,0.946,1.208,117.0,22.5,17.8,22.6
Viet Nam,2008,519.1,92.0,95.6,15.0,60.5,76.0,1.017,1.237,116.0,24.1,16.8,20.2
Viet Nam,2009,916.9,96.0,97.0,16.0,60.9,69.0,0.968,1.124,114.0,23.8,15.6,
Viet Nam,2010,631.3,93.0,97.8,15.8,62.0,69.0,1.064,1.127,62.0,23.3,14.5,17.5
Viet Nam,2011,648.2,95.0,96.5,15.5,51.6,,1.13,1.152,323.0,23.2,13.6,12.0
Viet Nam,2012,671.4,97.0,96.4,15.4,,,1.274,1.266,218.0,23.1,13.0,
Viet Nam,2013,707.2,83.0,97.7,15.3,,49.0,1.226,1.18,,22.4,12.5,
Viet Nam,2014,893.1,95.0,86.2,14.9,,,,,,,11.8,
Viet Nam,2015,914.5,,,,,,,,,,11.0,
